Game Name,PSN Developer,Release Date,PSN Price,Metascore,MC_NumCriticalRatings,Metacritic User Score,MC_NumUserRatings,PSN User Rating,PSN_NumberUserReviews,PSN_Requirements,MetaCritic Requirements,Metacritic URL,PSN URL
100ft Robot Golf,NO GOBLIN LLC,"Sep 27, 2017",$9.99,56,18,5.9,21,3.5,63,N/A,PlayStation VR Compatible,https://www.metacritic.com/game/playstation-4/100ft-robot-golf,https://store.playstation.com/en-us/product/UP0476-CUSA04678_00-100FTKAIJUBUNDLE
Ace Banana,Oasis Games Limited,"Oct 13, 2016",$5.99,40,18,4.3,19,2.5,78,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/ace-banana,https://store.playstation.com/en-us/product/UP1847-CUSA06055_00-ACEBANANAVR00001
Apex Construct,FAST TRAVEL GAMES AB,"Feb 20, 2018",$19.99,72,21,7.0,21,4.0,115,N/A,"PlayStation VR Compatible, PlayStation VR Required",https://www.metacritic.com/game/playstation-4/apex-construct,https://store.playstation.com/en-us/product/UP3046-CUSA10860_00-0000000000000000
Archangel,Skydance Interactive LLC,"Jul 18, 2017",$29.99,69,18,6.9,20,4.0,333,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/archangel,https://store.playstation.com/en-us/product/UP2533-CUSA08450_00-ARCHANGELVR00001
Arizona Sunshine,Vertigo Games B.V,"Jul 5, 2017",$39.99,63,31,6.6,47,4.0,1104,N/A,"PlayStation VR Compatible, PlayStation VR Required",https://www.metacritic.com/game/playstation-4/arizona-sunshine,https://store.playstation.com/en-us/product/UP3535-CUSA08697_00-0000000000000000
ARK Park,"Snail Games USA, Inc.","Mar 22, 2018",$49.99,46,11,4.5,22,2.5,164,N/A,"PlayStation VR Compatible, PlayStation VR Required",https://www.metacritic.com/game/playstation-4/ark-park,https://store.playstation.com/en-us/product/UP0781-CUSA10975_00-ARKPARK000000001
Batman: Arkham VR,Warner Bros. Interactive,"Sep 22, 2017",$13.99,74,62,7.2,158,4.0,1092,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/batman-arkham-vr,https://store.playstation.com/en-us/product/UP1018-CUSA05335_00-ARKHAMVRLT000000
Beat Saber,Beat Games s.r.o.,"Nov 20, 2018",$29.99,85,23,8.2,76,5.0,4276,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/beat-saber,https://store.playstation.com/en-us/product/UP4882-CUSA12878_00-BEATSABERFULL000
Blind,SURPRISE ATTACK PTY LTD,"Sep 18, 2018",$24.99,62,8,5.0,11,4.0,10,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/blind,https://store.playstation.com/en-us/product/UP1360-CUSA11632_00-0000000000001105
Borderlands 2 VR,2K,"Dec 14, 2018",$49.99,72,33,7.6,53,4.5,551,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/borderlands-2-vr,https://store.playstation.com/en-us/product/UP1001-CUSA13897_00-000000000000BLVR
Bound,Sony Interactive Entertainment,"Aug 16, 2016",$19.99,71,62,7.1,128,4.0,2851,N/A,PlayStation VR Compatible,https://www.metacritic.com/game/playstation-4/bound,https://store.playstation.com/en-us/product/UP9000-CUSA04193_00-BOUNDGAMEUS00001
Bravo Team,Sony Interactive Entertainment,"Mar 6, 2018",$39.99,45,39,4.4,48,2.5,310,N/A,"PlayStation VR Compatible, PlayStation VR Required",https://www.metacritic.com/game/playstation-4/bravo-team,https://store.playstation.com/en-us/product/UP9000-CUSA08015_00-BRAVOTEAMUS00001
ChromaGun VR,Pixel Maniacs,"Feb 19, 2019",$19.99,64,10,5.9,12,3.5,11,N/A,"PlayStation VR Compatible, PlayStation VR Required",https://www.metacritic.com/game/playstation-4/chromagun-vr,https://store.playstation.com/en-us/product/UP1147-CUSA10840_00-CHROMAGUNPSVR000
Cold Iron,"Catch & Release, LLC","Jan 30, 2018",$9.79,71,8,7.7,30,4.0,51,N/A,PlayStation VR Compatible,https://www.metacritic.com/game/playstation-4/cold-iron,https://store.playstation.com/en-us/product/UP3465-CUSA08345_00-COLDIRON00000000
Creed: Rise to Glory,"Survios, Inc.","Sep 25, 2018",$29.99,73,9,6.8,20,4.5,367,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/creed-rise-to-glory,https://store.playstation.com/en-us/product/UP2292-CUSA12801_00-CR1RELEASE000001
Crystal Rift,Psytec Games Ltd,"Nov 29, 2016",$12.99,37,10,6.3,11,3.5,180,N/A,PlayStation VR Compatible,https://www.metacritic.com/game/playstation-4/crystal-rift,https://store.playstation.com/en-us/product/UP1512-CUSA06766_00-0000000000000001
DARK ECLIPSE,SUNSOFT (SUNCORPORATION),"Sep 25, 2018",Free,65,10,6.7,18,4.5,226,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/dark-eclipse,https://store.playstation.com/en-us/product/UP3604-CUSA08190_00-0000000000003400
