Game Name,PSN Developer,Release Date,PSN Price,Metascore,MC_NumCriticalRatings,Metacritic User Score,MC_NumUserRatings,PSN User Rating,PSN_NumberUserReviews,PSN_Requirements,MetaCritic Requirements,Metacritic URL,PSN URL
Tethered,Secret Sorcery Limited,"Oct 25, 2016",$24.99,76,14,7.4,40,4.5,287,N/A,PlayStation VR Compatible,https://www.metacritic.com/game/playstation-4/tethered,TESTMODE
Tetris Effect,Enhance Games,"Nov 9, 2018",$39.99,89,72,7.8,143,5.0,733,N/A,PlayStation VR Compatible,https://www.metacritic.com/game/playstation-4/tetris-effect,TESTMODE
The Assembly,NDREAMS LTD,"Oct 13, 2016",$29.99,53,12,5.5,10,3.5,104,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/the-assembly,TESTMODE
The Elder Scrolls V: Skyrim VR,Bethesda Softworks,"Nov 17, 2017",$59.99,77,44,8.1,240,4.5,1164,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/the-elder-scrolls-v-skyrim-vr,TESTMODE
The Inpatient,Sony Interactive Entertainment,"Jan 23, 2018",$19.99,59,57,6.1,74,3.5,350,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/the-inpatient,TESTMODE
The Persistence,Firesprite Limited,"Jul 24, 2018",$29.99,78,28,8.1,64,5.0,243,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/the-persistence,TESTMODE
The Solus Project,Grip Digital S.R.O.,"Sep 18, 2017",$19.99,65,12,6.9,13,4.0,219,N/A,PlayStation VR Compatible,https://www.metacritic.com/game/playstation-4/the-solus-project,TESTMODE
Ace Banana,Oasis Games Limited,"Oct 13, 2016",$14.99,40,18,4.3,19,2.5,77,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/ace-banana,TESTMODE
Thumper,Drool LLC,"Oct 10, 2016",$19.99,84,40,7.2,91,4.5,1101,N/A,PlayStation VR Compatible,https://www.metacritic.com/game/playstation-4/thumper,TESTMODE
Time Carnage,Wales Interactive,"Apr 10, 2018",$19.99,54,10,3.7,10,4.5,66,N/A,PlayStation VR Compatible,https://www.metacritic.com/game/playstation-4/time-carnage,TESTMODE
Tiny Trax,FuturLab Limited,"Jul 25, 2017",$19.99,72,13,5.6,7,4.0,83,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/tiny-trax,TESTMODE
Touhou Kobuto V: Burst Battle,NIS America Inc.,"Oct 10, 2017",$19.99,42,12,3.0,13,4.5,28,N/A,PlayStation VR Compatible,https://www.metacritic.com/game/playstation-4/touhou-kobuto-v-burst-battle,TESTMODE
Trackmania Turbo,Ubisoft Entertainment,"Mar 22, 2016",$39.99,81,52,7.6,168,4.0,6407,N/A,PlayStation VR Compatible,https://www.metacritic.com/game/playstation-4/trackmania-turbo,TESTMODE
Transference,Ubisoft Entertainment,"Sep 18, 2018",$24.99,71,40,5.0,17,4.5,79,N/A,PlayStation VR Compatible,https://www.metacritic.com/game/playstation-4/transference,TESTMODE
Transpose,Secret Location Inc,"Nov 6, 2018",$19.99,80,9,tbd,-1,4.5,19,N/A,PlayStation VR Compatible,https://www.metacritic.com/game/playstation-4/transpose,TESTMODE
Tumble VR,Sony Interactive Entertainment,"Oct 10, 2016",$9.99,69,26,7.1,37,4.5,313,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/tumble-vr,TESTMODE
Blind,SURPRISE ATTACK PTY LTD,"Sep 18, 2018",$24.99,62,8,5.0,11,4.0,10,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/blind,TESTMODE
Until Dawn: Rush of Blood,Sony Interactive Entertainment,"Oct 10, 2016",Free,72,51,7.7,159,4.5,1568,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/until-dawn-rush-of-blood,TESTMODE
Until Dawn: Rush of Blood,Sony Interactive Entertainment,"Oct 10, 2016",$14.99,72,51,7.7,159,4.5,3426,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/until-dawn-rush-of-blood,TESTMODE
Volume,BITHELL GAMES,"Aug 18, 2015",$19.99,71,15,7.0,26,4.5,403,N/A,PlayStation VR Compatible,https://www.metacritic.com/game/playstation-4/volume,TESTMODE
Wayward Sky,Uber Entertainment,"Oct 10, 2016",$19.99,72,16,7.1,18,4.5,194,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/wayward-sky,TESTMODE
Werewolves Within,Ubisoft Entertainment,"Dec 6, 2016",$19.99,76,17,7.1,28,4.5,254,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/werewolves-within,TESTMODE
Windlands,Psytec Games Ltd,"Oct 25, 2016",$24.99,63,15,7.1,24,4.0,117,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/windlands,TESTMODE
Borderlands 2 VR,2K,"Dec 14, 2018",$49.99,72,33,7.6,52,4.5,529,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/borderlands-2-vr,TESTMODE
Bound,Sony Interactive Entertainment,"Aug 16, 2016",$19.99,71,62,7.1,128,4.0,2846,N/A,PlayStation VR Compatible,https://www.metacritic.com/game/playstation-4/bound,TESTMODE
Bravo Team,Sony Interactive Entertainment,"Mar 6, 2018",$39.99,45,39,4.4,48,2.5,308,N/A,"PlayStation VR Compatible, PlayStation VR Required",https://www.metacritic.com/game/playstation-4/bravo-team,TESTMODE
Catlateral Damage,FIRE HOSE GAMES,"Mar 22, 2016",$9.99,57,10,5.1,15,4.0,907,N/A,PlayStation VR Compatible,https://www.metacritic.com/game/playstation-4/catlateral-damage,TESTMODE
ChromaGun VR,Pixel Maniacs,"Feb 19, 2019",$19.99,64,10,5.9,12,3.5,11,N/A,"PlayStation VR Compatible, PlayStation VR Required",https://www.metacritic.com/game/playstation-4/chromagun-vr,TESTMODE
Cold Iron,"Catch & Release, LLC","Jan 30, 2018",$13.99,71,8,7.7,30,4.0,51,N/A,PlayStation VR Compatible,https://www.metacritic.com/game/playstation-4/cold-iron,TESTMODE
Creed: Rise to Glory,"Survios, Inc.","Sep 25, 2018",$29.99,73,9,6.8,20,4.5,354,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/creed-rise-to-glory,TESTMODE
Crystal Rift,Psytec Games Ltd,"Nov 29, 2016",$12.99,37,10,6.3,11,3.5,180,N/A,PlayStation VR Compatible,https://www.metacritic.com/game/playstation-4/crystal-rift,TESTMODE
Darknet,Archiact Interactive Ltd,"Mar 7, 2017",$14.99,78,8,5.0,8,4.5,74,N/A,PlayStation VR Compatible,https://www.metacritic.com/game/playstation-4/darknet,TESTMODE
Detached,ANSHAR STUDIOS,"Jul 24, 2018",$24.99,66,10,tbd,-1,4.5,39,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/detached,TESTMODE
DEXED,NINJA THEORY LIMITED,"Jan 31, 2017",$9.99,65,11,tbd,-1,3.5,35,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/dexed,TESTMODE
Dino Frontier,Uber Entertainment,"Aug 1, 2017",$29.99,65,9,6.4,14,4.5,207,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/dino-frontier,TESTMODE
DOOM VFR,Bethesda Softworks,"Dec 1, 2017",$29.99,71,48,6.7,71,4.0,537,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/doom-vfr,TESTMODE
Downward Spiral: Horus Station,3rd Eye Studios Oy Ltd,"Sep 18, 2018",$19.99,61,10,3.5,6,4.0,27,N/A,PlayStation VR Compatible,https://www.metacritic.com/game/playstation-4/downward-spiral-horus-station,TESTMODE
Eagle Flight,Ubisoft Entertainment,"Nov 8, 2016",$19.99,73,36,6.9,43,4.0,285,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/eagle-flight,TESTMODE
Eden-Tomorrow,Frank Sennholz trading as Soul Pix,"Feb 12, 2019",$19.99,52,7,6.1,12,4.0,19,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/eden-tomorrow,TESTMODE
Falcon Age,Outerloop Games LLC,"Apr 9, 2019",$19.99,76,11,6.3,14,4.5,33,N/A,PlayStation VR Compatible,https://www.metacritic.com/game/playstation-4/falcon-age,TESTMODE
Farpoint,Sony Interactive Entertainment,"May 16, 2017",$19.99,71,62,8.1,228,4.5,607,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/farpoint,TESTMODE
